Flughafen;Handlingtyp+Priorität+Transporttyps;Dauer
ALY;importmailE;0.520833333
ALY;importmailF;0.520833333
ALY;importmailRFS;0.520833333
ALY;importstandardC;0.520833333
ALY;importstandardE;0.520833333
ALY;importstandardF;0.520833333
ALY;importstandardRFS;0.520833333
AMM;exportmailE;0.020833333
AMM;exportpremiumE;0.041666667
AMM;exportstandardE;0.020833333
AMM;importmailE;0.104166667
AMM;importpremiumE;0.125
AMM;importstandardE;0.104166667
AMS;exportmailC;0.291666667
AMS;exportmailE;0.083333333
AMS;exportmailF;0.083333333
AMS;exportmailRFS;0.083333333
AMS;exportpremiumC;0.333333333
AMS;exportpremiumF;0.083333333
AMS;exportpremiumRFS;0.125
AMS;exportstandardC;0.291666667
AMS;exportstandardE;0.083333333
AMS;exportstandardF;0.083333333
AMS;exportstandardRFS;0.083333333
AMS;importmailC;0.25
AMS;importmailE;0.208333333
AMS;importmailF;0.208333333
AMS;importmailRFS;0.208333333
AMS;importpremiumC;0.25
AMS;importpremiumE;0.25
AMS;importpremiumF;0.25
AMS;importpremiumRFS;0.25
AMS;importstandardC;0.25
AMS;importstandardE;0.208333333
AMS;importstandardF;0.208333333
AMS;importstandardRFS;0.208333333
AMS;transfermailCC;0.375
AMS;transfermailCRFS;0.375
AMS;transfermailRFSC;0.458333333
AMS;transfermailRFSRFS;0.458333333
AMS;transferpremiumCC;0.458333333
AMS;transferpremiumCRFS;0.458333333
AMS;transferpremiumRFSC;0.458333333
AMS;transferpremiumRFSRFS;0.458333333
AMS;transferstandardCC;0.375
AMS;transferstandardCRFS;0.375
AMS;transferstandardRFSC;0.458333333
AMS;transferstandardRFSRFS;0.458333333
ANR;importmailRFS;1.083333333
ANR;importpremiumRFS;1.083333333
ANR;importstandardRFS;1.083333333
AOI;exportmailRFS;0.0625
AOI;exportpremiumRFS;0.083333333
AOI;exportstandardRFS;0.0625
ARN;exportmailC;0.083333333
ARN;exportmailE;0.0625
ARN;exportmailF;0.0625
ARN;exportmailRFS;0.083333333
ARN;exportpremiumC;0.25
ARN;exportpremiumE;0.0625
ARN;exportpremiumF;0.0625
ARN;exportpremiumRFS;0.083333333
ARN;exportstandardC;0.083333333
ARN;exportstandardE;0.0625
ARN;exportstandardF;0.0625
ARN;exportstandardRFS;0.083333333
ARN;importmailC;0.125
ARN;importmailE;0.104166667
ARN;importmailF;0.104166667
ARN;importmailRFS;0.125
ARN;importpremiumC;0.166666667
ARN;importpremiumE;0.125
ARN;importpremiumF;0.125
ARN;importpremiumRFS;0.166666667
ARN;importstandardC;0.125
ARN;importstandardE;0.104166667
ARN;importstandardF;0.104166667
ARN;importstandardRFS;0.125
ARN;transfermailCC;0.354166667
ARN;transfermailCE;0.354166667
ARN;transfermailCF;0.354166667
ARN;transfermailCRFS;0.354166667
ARN;transfermailEC;0.354166667
ARN;transfermailEE;0.354166667
ARN;transfermailEF;0.354166667
ARN;transfermailERFS;0.354166667
ARN;transfermailFC;0.354166667
ARN;transfermailFE;0.354166667
ARN;transfermailFF;0.354166667
ARN;transfermailFRFS;0.354166667
ARN;transfermailRFSC;0.354166667
ARN;transfermailRFSE;0.354166667
ARN;transfermailRFSF;0.354166667
ARN;transfermailRFSRFS;0.354166667
ARN;transferpremiumEC;0.375
ARN;transferpremiumEE;0.375
ARN;transferpremiumEF;0.333333333
ARN;transferpremiumERFS;0.375
ARN;transferpremiumFC;0.375
ARN;transferpremiumFE;0.375
ARN;transferpremiumFF;0.333333333
ARN;transferpremiumFRFS;0.375
ARN;transferpremiumRFSC;0.25
ARN;transferpremiumRFSE;0.25
ARN;transferpremiumRFSF;0.208333333
ARN;transferpremiumRFSRFS;0.25
ARN;transferstandardCC;0.354166667
ARN;transferstandardCE;0.354166667
ARN;transferstandardCF;0.354166667
ARN;transferstandardCRFS;0.354166667
ARN;transferstandardEC;0.354166667
ARN;transferstandardEE;0.354166667
ARN;transferstandardEF;0.354166667
ARN;transferstandardERFS;0.354166667
ARN;transferstandardFC;0.354166667
ARN;transferstandardFE;0.354166667
ARN;transferstandardFF;0.354166667
ARN;transferstandardFRFS;0.354166667
ARN;transferstandardRFSC;0.354166667
ARN;transferstandardRFSE;0.354166667
ARN;transferstandardRFSF;0.354166667
ARN;transferstandardRFSRFS;0.354166667
ASB;exportmailC;0.041666667
ASB;exportmailE;0.041666667
ASB;exportmailF;0.041666667
ASB;exportmailRFS;0.041666667
ASB;exportpremiumC;0.041666667
ASB;exportpremiumE;0.041666667
ASB;exportpremiumRFS;0.041666667
ASB;exportstandardC;0.041666667
ASB;exportstandardE;0.041666667
ASB;exportstandardF;0.041666667
ASB;exportstandardRFS;0.041666667
ASB;importmailC;0.145833333
ASB;importmailE;0.145833333
ASB;importmailF;0.145833333
ASB;importmailRFS;0.145833333
ASB;importpremiumC;0.333333333
ASB;importpremiumE;0.333333333
ASB;importpremiumRFS;0.333333333
ASB;importstandardC;0.145833333
ASB;importstandardE;0.145833333
ASB;importstandardF;0.145833333
ASB;importstandardRFS;0.145833333
ASM;exportmailE;0.125
ASM;exportpremiumE;0.208333333
ASM;exportstandardE;0.125
ASM;importmailE;0.125
ASM;importpremiumE;0.125
ASM;importstandardE;0.125
ATH;exportmailC;0.0625
ATH;exportmailE;0.0625
ATH;exportmailF;0.0625
ATH;exportmailRFS;0.083333333
ATH;exportpremiumC;0.104166667
ATH;exportpremiumE;0.125
ATH;exportpremiumRFS;0.104166667
ATH;exportstandardC;0.0625
ATH;exportstandardE;0.0625
ATH;exportstandardF;0.0625
ATH;exportstandardRFS;0.083333333
ATH;importmailC;0.243055556
ATH;importmailE;0.0625
ATH;importmailF;0.145833333
ATH;importmailRFS;0.0625
ATH;importpremiumC;0.291666667
ATH;importpremiumE;0.125
ATH;importpremiumRFS;0.125
ATH;importstandardC;0.243055556
ATH;importstandardE;0.0625
ATH;importstandardF;0.145833333
ATH;importstandardRFS;0.0625
ATL;exportmailC;0.083333333
ATL;exportmailE;0.145833333
ATL;exportmailRFS;0.083333333
ATL;exportpremiumC;0.333333333
ATL;exportpremiumE;0.208333333
ATL;exportpremiumRFS;0.083333333
ATL;exportstandardC;0.083333333
ATL;exportstandardE;0.145833333
ATL;exportstandardRFS;0.083333333
ATL;importmailC;0.114583333
ATL;importmailE;0.114583333
ATL;importmailRFS;0.104166667
ATL;importpremiumC;0.333333333
ATL;importpremiumE;0.25
ATL;importpremiumRFS;0.166666667
ATL;importstandardC;0.114583333
ATL;importstandardE;0.114583333
ATL;importstandardRFS;0.104166667
ATL;transfermailCC;0.111111111
ATL;transfermailCE;0.138888889
ATL;transfermailCRFS;0.138888889
ATL;transfermailEC;0.097222222
ATL;transfermailEE;0.125
ATL;transfermailERFS;0.125
ATL;transfermailRFSC;0.097222222
ATL;transfermailRFSE;0.125
ATL;transfermailRFSRFS;0.125
ATL;transferpremiumCC;0.215277778
ATL;transferpremiumCE;0.236111111
ATL;transferpremiumCRFS;0.243055556
ATL;transferpremiumEC;0.1875
ATL;transferpremiumEE;0.208333333
ATL;transferpremiumERFS;0.215277778
ATL;transferpremiumRFSC;0.180555556
ATL;transferpremiumRFSE;0.201388889
ATL;transferpremiumRFSRFS;0.208333333
ATL;transferstandardCC;0.111111111
ATL;transferstandardCE;0.138888889
ATL;transferstandardCRFS;0.138888889
ATL;transferstandardEC;0.097222222
ATL;transferstandardEE;0.125
ATL;transferstandardERFS;0.125
ATL;transferstandardRFSC;0.097222222
ATL;transferstandardRFSE;0.125
ATL;transferstandardRFSRFS;0.125
AUH;exportmailE;0.125
AUH;exportmailRFS;0.125
AUH;exportpremiumE;0.166666667
AUH;exportpremiumRFS;0.25
AUH;exportstandardE;0.125
AUH;exportstandardRFS;0.125
AUH;importmailE;0.555555556
AUH;importmailRFS;0.25
AUH;importpremiumE;0.555555556
AUH;importpremiumRFS;0.25
AUH;importstandardE;0.555555556
AUH;importstandardRFS;0.25
AUH;transfermailEE;0.25
AUH;transfermailERFS;0.375
AUH;transfermailRFSE;0.375
AUH;transfermailRFSRFS;0.5
AUH;transferpremiumEE;0.25
AUH;transferpremiumERFS;0.375
AUH;transferpremiumRFSE;0.375
AUH;transferpremiumRFSRFS;0.5
AUH;transferstandardEE;0.25
AUH;transferstandardERFS;0.375
AUH;transferstandardRFSE;0.375
AUH;transferstandardRFSRFS;0.5
AUS;exportmailRFS;0.125
AUS;exportpremiumRFS;0.125
AUS;exportstandardRFS;0.125
AUS;importmailRFS;0.125
AUS;importpremiumRFS;0.125
AUS;importstandardRFS;0.125
AYT;exportmailE;0.020833333
AYT;exportmailRFS;0.166666667
AYT;exportpremiumE;0.041666667
AYT;exportpremiumRFS;0.166666667
AYT;exportstandardE;0.020833333
AYT;exportstandardRFS;0.166666667
AYT;importmailE;0.125
AYT;importmailRFS;0.125
AYT;importpremiumE;0.208333333
AYT;importpremiumRFS;0.208333333
AYT;importstandardE;0.125
AYT;importstandardRFS;0.125
AYT;transfermailEE;0.083333333
AYT;transfermailERFS;0.125
AYT;transfermailRFSE;0.125
AYT;transfermailRFSRFS;0.166666667
AYT;transferpremiumEE;0.083333333
AYT;transferpremiumERFS;0.125
AYT;transferpremiumRFSE;0.125
AYT;transferpremiumRFSRFS;0.166666667
AYT;transferstandardEE;0.083333333
AYT;transferstandardERFS;0.125
AYT;transferstandardRFSE;0.125
AYT;transferstandardRFSRFS;0.166666667
BAH;exportmailC;0.125
BAH;exportmailE;0.020833333
BAH;exportmailF;0.125
BAH;exportmailRFS;0.125
BAH;exportpremiumC;0.208333333
BAH;exportpremiumE;0.041666667
BAH;exportpremiumF;0.208333333
BAH;exportpremiumRFS;0.208333333
BAH;exportstandardC;0.125
BAH;exportstandardE;0.020833333
BAH;exportstandardF;0.125
BAH;exportstandardRFS;0.125
BAH;importmailC;0.104166667
BAH;importmailE;0.104166667
BAH;importmailF;0.104166667
BAH;importmailRFS;0.104166667
BAH;importpremiumC;0.125
BAH;importpremiumE;0.125
BAH;importpremiumF;0.125
BAH;importpremiumRFS;0.125
BAH;importstandardC;0.104166667
BAH;importstandardE;0.104166667
BAH;importstandardF;0.104166667
BAH;importstandardRFS;0.104166667
BAH;transfermailCC;0.166666667
BAH;transfermailCE;0.166666667
BAH;transfermailCRFS;0.25
BAH;transfermailEC;0.166666667
BAH;transfermailEE;0.166666667
BAH;transfermailERFS;0.25
BAH;transfermailRFSC;0.25
BAH;transfermailRFSE;0.25
BAH;transfermailRFSRFS;0.333333333
BAH;transferpremiumCC;0.166666667
BAH;transferpremiumCE;0.166666667
BAH;transferpremiumCRFS;0.25
BAH;transferpremiumEC;0.166666667
BAH;transferpremiumEE;0.166666667
BAH;transferpremiumERFS;0.25
BAH;transferpremiumRFSC;0.25
BAH;transferpremiumRFSE;0.25
BAH;transferpremiumRFSRFS;0.333333333
BAH;transferstandardCC;0.166666667
BAH;transferstandardCE;0.166666667
BAH;transferstandardCRFS;0.25
BAH;transferstandardEC;0.166666667
BAH;transferstandardEE;0.166666667
BAH;transferstandardERFS;0.25
BAH;transferstandardRFSC;0.25
BAH;transferstandardRFSE;0.25
BAH;transferstandardRFSRFS;0.333333333
BAK;exportmailC;0.041666667
BAK;exportmailE;0.041666667
BAK;exportmailF;0.041666667
BAK;exportmailRFS;0.041666667
BAK;exportpremiumC;0.041666667
BAK;exportpremiumE;0.041666667
BAK;exportpremiumF;0.041666667
BAK;exportpremiumRFS;0.041666667
BAK;exportstandardC;0.041666667
BAK;exportstandardE;0.041666667
BAK;exportstandardF;0.041666667
BAK;exportstandardRFS;0.041666667
BAK;importmailC;0.145833333
BAK;importmailE;0.145833333
BAK;importmailF;0.145833333
BAK;importmailRFS;0.145833333
BAK;importpremiumC;0.145833333
BAK;importpremiumE;0.145833333
BAK;importpremiumF;0.145833333
BAK;importpremiumRFS;0.145833333
BAK;importstandardC;0.145833333
BAK;importstandardE;0.145833333
BAK;importstandardF;0.145833333
BAK;importstandardRFS;0.145833333
BCN;exportmailC;0.25
BCN;exportmailE;0.104166667
BCN;exportmailF;0.104166667
BCN;exportmailRFS;0.166666667
BCN;exportpremiumC;0.333333333
BCN;exportpremiumE;0.166666667
BCN;exportpremiumF;0.166666667
BCN;exportpremiumRFS;0.208333333
BCN;exportstandardC;0.25
BCN;exportstandardE;0.104166667
BCN;exportstandardF;0.104166667
BCN;exportstandardRFS;0.166666667
BCN;importmailC;0.25
BCN;importmailE;0.125
BCN;importmailF;0.125
BCN;importmailRFS;0.25
BCN;importpremiumC;0.333333333
BCN;importpremiumE;0.25
BCN;importpremiumF;0.25
BCN;importpremiumRFS;0.25
BCN;importstandardC;0.25
BCN;importstandardE;0.125
BCN;importstandardF;0.125
BCN;importstandardRFS;0.25
BCN;transfermailCC;0.25
BCN;transfermailCE;0.229166667
BCN;transfermailCF;0.229166667
BCN;transfermailCRFS;0.291666667
BCN;transfermailEC;0.25
BCN;transfermailEE;0.229166667
BCN;transfermailEF;0.229166667
BCN;transfermailERFS;0.291666667
BCN;transfermailFC;0.25
BCN;transfermailFE;0.229166667
BCN;transfermailFF;0.229166667
BCN;transfermailFRFS;0.291666667
BCN;transfermailRFSC;0.375
BCN;transfermailRFSE;0.354166667
BCN;transfermailRFSF;0.354166667
BCN;transfermailRFSRFS;0.416666667
BCN;transferpremiumCC;0.333333333
BCN;transferpremiumCE;0.333333333
BCN;transferpremiumCF;0.333333333
BCN;transferpremiumCRFS;0.375
BCN;transferpremiumEC;0.416666667
BCN;transferpremiumEE;0.416666667
BCN;transferpremiumEF;0.416666667
BCN;transferpremiumERFS;0.458333333
BCN;transferpremiumFC;0.416666667
BCN;transferpremiumFE;0.416666667
BCN;transferpremiumFF;0.416666667
BCN;transferpremiumFRFS;0.458333333
BCN;transferpremiumRFSC;0.416666667
BCN;transferpremiumRFSE;0.416666667
BCN;transferpremiumRFSF;0.416666667
BCN;transferpremiumRFSRFS;0.458333333
BCN;transferstandardCC;0.25
BCN;transferstandardCE;0.229166667
BCN;transferstandardCF;0.229166667
BCN;transferstandardCRFS;0.291666667
BCN;transferstandardEC;0.25
BCN;transferstandardEE;0.229166667
BCN;transferstandardEF;0.229166667
BCN;transferstandardERFS;0.291666667
BCN;transferstandardFC;0.25
BCN;transferstandardFE;0.229166667
BCN;transferstandardFF;0.229166667
BCN;transferstandardFRFS;0.291666667
BCN;transferstandardRFSC;0.375
BCN;transferstandardRFSE;0.354166667
BCN;transferstandardRFSF;0.354166667
BCN;transferstandardRFSRFS;0.416666667
BDL;exportmailE;0.125
BDL;exportmailRFS;0.125
BDL;exportpremiumE;0.25
BDL;exportpremiumRFS;0.25
BDL;exportstandardE;0.125
BDL;exportstandardRFS;0.125
BDL;importmailE;0.125
BDL;importmailRFS;0.125
BDL;importpremiumE;0.25
BDL;importpremiumRFS;0.25
BDL;importstandardE;0.125
BDL;importstandardRFS;0.125
BDL;transfermailEE;0.25
BDL;transfermailERFS;0.25
BDL;transfermailRFSE;0.25
BDL;transfermailRFSRFS;0.25
BDL;transferpremiumEE;0.5
BDL;transferpremiumERFS;0.5
BDL;transferpremiumRFSE;0.5
BDL;transferpremiumRFSRFS;0.5
BDL;transferstandardEE;0.25
BDL;transferstandardERFS;0.25
BDL;transferstandardRFSE;0.25
BDL;transferstandardRFSRFS;0.25
BDR;exportmailE;0.125
BDR;exportmailRFS;0.125
BDR;exportpremiumE;0.25
BDR;exportpremiumRFS;0.25
BDR;exportstandardE;0.125
BDR;exportstandardRFS;0.125
BDR;importmailE;0.125
BDR;importmailRFS;0.125
BDR;importpremiumE;0.25
BDR;importpremiumRFS;0.25
BDR;importstandardE;0.125
BDR;importstandardRFS;0.125
BDR;transfermailEE;0.25
BDR;transfermailERFS;0.25
BDR;transfermailRFSE;0.25
BDR;transfermailRFSRFS;0.25
BDR;transferpremiumEE;0.5
BDR;transferpremiumERFS;0.5
BDR;transferpremiumRFSE;0.5
BDR;transferpremiumRFSRFS;0.5
BDR;transferstandardEE;0.25
BDR;transferstandardERFS;0.25
BDR;transferstandardRFSE;0.25
BDR;transferstandardRFSRFS;0.25
BEG;exportmailE;0.0625
BEG;exportmailF;0.0625
BEG;exportmailRFS;0.083333333
BEG;exportpremiumE;0.083333333
BEG;exportpremiumF;0.083333333
BEG;exportpremiumRFS;0.166666667
BEG;exportstandardE;0.0625
BEG;exportstandardF;0.0625
BEG;exportstandardRFS;0.083333333
BEG;importmailE;0.125
BEG;importmailF;0.125
BEG;importmailRFS;0.25
BEG;importpremiumE;0.166666667
BEG;importpremiumF;0.166666667
BEG;importpremiumRFS;0.333333333
BEG;importstandardE;0.125
BEG;importstandardF;0.125
BEG;importstandardRFS;0.25
BEY;exportmailE;0.125
BEY;exportpremiumE;0.208333333
BEY;exportstandardE;0.125
BEY;importmailE;0.4375
BEY;importpremiumE;0.416666667
BEY;importstandardE;0.4375
BFS;exportmailC;0.034722222
BFS;exportmailE;0.0625
BFS;exportmailF;0.0625
BFS;exportmailRFS;0.03125
BFS;exportpremiumC;0.0625
BFS;exportpremiumE;0.0625
BFS;exportpremiumF;0.0625
BFS;exportpremiumRFS;0.03125
BFS;exportstandardC;0.034722222
BFS;exportstandardE;0.0625
BFS;exportstandardF;0.0625
BFS;exportstandardRFS;0.03125
BFS;importmailC;0.145833333
BFS;importmailE;0.145833333
BFS;importmailF;0.145833333
BFS;importmailRFS;0.145833333
BFS;importpremiumC;0.208333333
BFS;importpremiumE;0.208333333
BFS;importpremiumF;0.208333333
BFS;importpremiumRFS;0.208333333
BFS;importstandardC;0.145833333
BFS;importstandardE;0.145833333
