Flight Leg ID;Leg Origin;Leg Destination;Dep Day [0-7];Arr Day [0-7];Flight ID;Pos in Flight;Rotation ID (not applicable);Flight leg Type;Aircraft Type;Payload costs [€/kg];Flight costs [€];Flight Leg Capacity [kg];Realization;;;
23;FRA;HEL;3.326388889;3.427083333;13;1;10;F;319;0;0;7000;optional;;;
24;HEL;FRA;3.461805556;3.569444444;13;2;10;F;319;0;0;7000;optional;;;
25;FRA;HEL;6.354166667;6.440972222;14;1;11;F;319;0;0;6000;optional;;;
26;HEL;FRA;6.46875;6.565972222;14;2;11;F;319;0;0;6000;optional;;;
27;FRA;LHR;6.611111111;6.670138889;15;1;11;F;319;0;0;3500;optional;;;
28;LHR;FRA;6.715277778;6.784722222;15;2;11;F;319;0;0;3500;optional;;;
29;FRA;OSL;6.829861111;6.909722222;16;1;11;F;319;0;0;7500;optional;;;
30;OSL;FRA;0.184027778;0.277777778;16;2;11;F;319;0;0;7500;optional;;;
31;FRA;LHR;1.253472222;1.319444444;17;1;12;F;319;0;0;1000;optional;;;
32;LHR;FRA;1.347222222;1.420138889;17;2;12;F;319;0;0;1000;optional;;;
33;LHR;FRA;3.520833333;3.604166667;18;1;13;F;319;0;0;3500;optional;;;
34;FRA;LHR;2.618055556;2.697916667;19;1;14;F;319;0;0;3500;optional;;;
35;FRA;TUN;5.854166667;5.951388889;20;1;15;F;319;0;0;2000;optional;;;
36;TUN;FRA;6.065972222;6.166666667;20;2;15;F;319;0;0;2000;optional;;;
37;FRA;CDG;6.28125;6.34375;21;1;15;F;319;0;0;1500;optional;;;
38;CDG;FRA;6.371527778;6.447916667;21;2;15;F;319;0;0;1500;optional;;;
39;FRA;CDG;4.274305556;4.326388889;22;1;16;F;319;0;0;2000;optional;;;
40;CDG;FRA;4.350694444;4.420138889;22;2;16;F;319;0;0;2000;optional;;;
41;FRA;CDG;6.607638889;6.673611111;23;1;17;F;319;0;0;500;optional;;;
42;CDG;FRA;6.697916667;6.770833333;23;2;17;F;319;0;0;500;optional;;;
43;FRA;WAW;3.600694444;3.666666667;24;1;18;F;319;0;0;2500;optional;;;
44;WAW;FRA;3.690972222;3.760416667;24;2;18;F;319;0;0;2500;optional;;;
45;FRA;MAD;4.1875;4.302083333;25;1;18;F;319;0;0;5500;optional;;;
46;MAD;FRA;4.329861111;4.447916667;25;2;18;F;319;0;0;5500;optional;;;
47;FRA;CPH;0.381944444;0.440972222;26;1;19;F;319;0;0;7500;optional;;;
48;CPH;FRA;0.475694444;0.541666667;26;2;19;F;319;0;0;7500;optional;;;
49;FRA;MAD;0.572916667;0.659722222;27;1;19;F;319;0;0;5500;optional;;;
50;MAD;FRA;0.6875;0.777777778;27;2;19;F;319;0;0;5500;optional;;;
51;FRA;MAD;0.340277778;0.427083333;28;1;20;F;319;0;0;1000;optional;;;
52;MAD;FRA;0.496527778;0.597222222;28;2;20;F;319;0;0;1000;optional;;;
53;FRA;VIE;1.607638889;1.663194444;29;1;21;F;319;0;0;1500;optional;;;
54;VIE;FRA;1.690972222;1.75;29;2;21;F;319;0;0;1500;optional;;;
55;FRA;TUN;2.854166667;2.954861111;30;1;22;F;319;0;0;1000;optional;;;
56;TUN;FRA;3.072916667;3.180555556;30;2;22;F;319;0;0;1000;optional;;;
57;FRA;BUD;1.215277778;1.28125;31;1;23;F;319;0;0;6000;optional;;;
58;BUD;FRA;1.315972222;1.388888889;31;2;23;F;319;0;0;6000;optional;;;
59;FRA;WAW;1.225694444;1.295138889;32;1;24;F;319;0;0;5500;optional;;;
60;WAW;FRA;1.326388889;1.40625;32;2;24;F;319;0;0;5500;optional;;;
61;FRA;WAW;0.600694444;0.659722222;33;1;25;F;319;0;0;500;optional;;;
62;WAW;FRA;0.684027778;0.75;33;2;25;F;319;0;0;500;optional;;;
63;FRA;BEG;4.8125;4.885416667;34;1;26;F;319;0;0;4500;optional;;;
64;BEG;FRA;5.170138889;5.260416667;34;2;26;F;319;0;0;4500;optional;;;
65;FRA;PRG;0.423611111;0.482638889;35;1;27;F;319;0;0;500;optional;;;
66;PRG;FRA;0.520833333;0.586805556;35;2;27;F;319;0;0;500;optional;;;
67;FRA;BUD;4.340277778;4.434027778;36;1;28;F;319;0;0;4500;optional;;;
68;BUD;FRA;4.472222222;4.572916667;36;2;28;F;319;0;0;4500;optional;;;
69;FRA;SVO;0.802083333;0.947916667;37;1;29;F;319;0;0;2000;optional;;;
70;SVO;FRA;1.020833333;1.180555556;37;2;29;F;319;0;0;2000;optional;;;
71;FRA;SVO;3.788194444;3.958333333;38;1;30;F;319;0;0;500;optional;;;
72;SVO;FRA;0.013888889;0.194444444;39;1;31;F;319;0;0;1000;optional;;;
73;FRA;SVO;0.642361111;0.802083333;40;1;32;F;319;0;0;500;optional;;;
74;SVO;FRA;1.024305556;1.201388889;40;2;32;F;319;0;0;500;optional;;;
75;FRA;SVO;2.642361111;2.802083333;41;1;33;F;319;0;0;500;optional;;;
76;SVO;FRA;3.024305556;3.201388889;41;2;33;F;319;0;0;500;optional;;;
77;FRA;SVO;4.642361111;4.802083333;42;1;34;F;319;0;0;500;optional;;;
78;SVO;FRA;5.024305556;5.201388889;42;2;34;F;319;0;0;500;optional;;;
79;FRA;SVO;5.46875;5.59375;43;1;35;F;319;0;0;500;optional;;;
80;SVO;FRA;5.628472222;5.774305556;43;2;35;F;319;0;0;500;optional;;;
81;FRA;SVO;5.71875;5.913194444;44;1;36;F;319;0;0;500;optional;;;
82;SVO;FRA;5.961805556;6.184027778;44;2;36;F;319;0;0;500;optional;;;
83;MUC;BUD;1.479166667;1.559027778;45;1;37;F;319;0;0;1000;optional;;;
84;BUD;MUC;1.590277778;1.677083333;45;2;37;F;319;0;0;1000;optional;;;
85;MUC;PRG;6.538194444;6.597222222;46;1;38;F;319;0;0;1000;optional;;;
86;PRG;MUC;6.631944444;6.697916667;46;2;38;F;319;0;0;1000;optional;;;
87;MUC;MAD;2.552083333;2.645833333;47;1;39;F;319;0;0;1000;optional;;;
88;MAD;MUC;2.673611111;2.763888889;47;2;39;F;319;0;0;1000;optional;;;
89;MUC;LIN;0.378472222;0.423611111;48;1;40;F;319;0;0;1000;optional;;;
90;LIN;MUC;0.454861111;0.5;48;2;40;F;319;0;0;1000;optional;;;
91;MUC;MAD;0.53125;0.621527778;49;1;40;F;319;0;0;500;optional;;;
92;MAD;MUC;0.663194444;0.75;49;2;40;F;319;0;0;500;optional;;;
93;MUC;MAD;2.527777778;2.649305556;50;1;41;F;319;0;0;500;optional;;;
94;MAD;MUC;2.677083333;2.795138889;50;2;41;F;319;0;0;500;optional;;;
95;MUC;LIN;0.798611111;0.847222222;51;1;42;F;319;0;0;4000;optional;;;
96;LIN;MUC;1.208333333;1.256944444;51;2;42;F;319;0;0;4000;optional;;;
97;MUC;BEG;4.378472222;4.434027778;52;1;43;F;319;0;0;3000;optional;;;
98;BEG;MUC;4.465277778;4.524305556;52;2;43;F;319;0;0;3000;optional;;;
99;MUC;MLA;4.552083333;4.645833333;53;1;43;F;319;0;0;500;optional;;;
100;MLA;MUC;4.680555556;4.78125;53;2;43;F;319;0;0;500;optional;;;
101;MUC;HAM;3.798611111;3.847222222;54;1;44;F;319;0;0;1500;optional;;;
102;HAM;MUC;4.194444444;4.246527778;54;2;44;F;319;0;0;1500;optional;;;
103;MUC;OSL;3.295138889;3.385416667;55;1;45;F;319;0;0;3500;optional;;;
104;OSL;MUC;3.413194444;3.506944444;55;2;45;F;319;0;0;3500;optional;;;
105;MUC;HEL;3.295138889;3.399305556;56;1;46;F;319;0;0;1000;optional;;;
106;HEL;MUC;3.430555556;3.534722222;56;2;46;F;319;0;0;1000;optional;;;
107;MUC;SVO;3.215277778;3.34375;57;1;47;F;319;0;0;3000;optional;;;
108;SVO;MUC;3.378472222;3.510416667;57;2;47;F;319;0;0;3000;optional;;;
109;MUC;PRG;4.71875;4.798611111;58;1;48;F;319;0;0;2500;optional;;;
110;PRG;MUC;5.177083333;5.260416667;58;2;48;F;319;0;0;2000;optional;;;
111;MUC;MAD;5.545138889;5.645833333;59;1;48;F;319;0;0;500;optional;;;
112;MAD;MUC;5.673611111;5.767361111;59;2;48;F;319;0;0;500;optional;;;
113;MUC;GYD;5.802083333;5.961805556;60;1;48;F;319;0;0;3500;optional;;;
114;GYD;MUC;6;6.163194444;60;2;48;F;319;0;0;3500;optional;;;
115;FRA;DUS;5.645833333;5.680555556;61;1;49;F;320;0;0;640;optional;;;
116;DUS;FRA;5.722222222;5.760416667;62;1;49;F;320;0;0;640;optional;;;
117;FRA;MUC;2.368055556;2.399305556;63;1;50;F;320;0;0;1280;optional;;;
118;MUC;FRA;2.423611111;2.458333333;63;2;50;F;320;0;0;1280;optional;;;
119;OPO;FRA;4.652777778;4.763888889;64;1;51;F;320;0;0;2240;optional;;;
120;FRA;BEY;5.347222222;5.506944444;65;1;51;F;320;0;0;2240;optional;;;
121;BEY;FRA;5.548611111;5.732638889;65;2;51;F;320;0;0;2240;optional;;;
122;FRA;HEL;5.763888889;5.850694444;66;1;51;F;320;0;0;640;optional;;;
123;HEL;FRA;6.138888889;6.236111111;66;2;51;F;320;0;0;640;optional;;;
124;FRA;BUD;6.28125;6.347222222;67;1;51;F;320;0;0;4160;optional;;;
125;BUD;FRA;6.375;6.447916667;67;2;51;F;320;0;0;4160;optional;;;
126;FRA;SVO;6.486111111;6.600694444;68;1;51;F;320;0;0;2240;optional;;;
127;SVO;FRA;6.652777778;6.777777778;68;2;51;F;320;0;0;2240;optional;;;
128;FRA;LIN;0.28125;0.329861111;69;1;51;F;320;0;0;2560;optional;;;
129;LIN;FRA;0.357638889;0.420138889;69;2;51;F;320;0;0;2560;optional;;;
130;FRA;SVO;0.46875;0.59375;70;1;51;F;320;0;0;3840;optional;;;
131;SVO;FRA;0.631944444;0.777777778;70;2;51;F;320;0;0;3840;optional;;;
132;FRA;PRG;1.319444444;1.409722222;71;1;51;F;320;0;0;2240;optional;;;
133;PRG;FRA;1.4375;1.538194444;71;2;51;F;320;0;0;2240;optional;;;
134;FRA;MAD;1.576388889;1.663194444;72;1;51;F;320;0;0;2560;optional;;;
135;MAD;FRA;1.690972222;1.791666667;72;2;51;F;320;0;0;2560;optional;;;
136;FRA;LIN;1.829861111;1.902777778;73;1;51;F;320;0;0;1280;optional;;;
137;LIN;FRA;2.1875;2.277777778;73;2;51;F;320;0;0;1280;optional;;;
138;HAM;VIE;0.378472222;0.4375;74;1;52;F;320;0;0;320;optional;;;
139;MUC;CAI;5.309027778;5.461805556;75;1;53;F;320;0;0;320;optional;;;
140;CAI;MUC;5.503472222;5.666666667;75;2;53;F;320;0;0;320;optional;;;
141;TXL;TLV;5.388888889;5.555555556;76;1;54;F;320;0;0;640;optional;;;
142;TLV;TXL;5.597222222;5.777777778;76;2;54;F;320;0;0;640;optional;;;
143;FRA;CPH;3.614583333;3.673611111;77;1;55;F;320;0;0;1600;optional;;;
144;CPH;FRA;3.722222222;3.788194444;77;2;55;F;320;0;0;1600;optional;;;
145;FRA;LHR;5.618055556;5.697916667;78;1;56;F;320;0;0;640;optional;;;
146;LHR;FRA;5.729166667;5.8125;78;2;56;F;320;0;0;640;optional;;;
147;FRA;HEL;5.850694444;5.951388889;79;1;56;F;320;0;0;1920;optional;;;
148;HEL;FRA;6.215277778;6.329861111;79;2;56;F;320;0;0;1920;optional;;;
149;FRA;OSL;5.829861111;5.909722222;80;1;57;F;320;0;0;2240;optional;;;
150;OSL;FRA;6.180555556;6.274305556;80;2;57;F;320;0;0;2240;optional;;;
151;FRA;CDG;4.315972222;4.364583333;81;1;58;F;320;0;0;4160;optional;;;
152;CDG;FRA;4.395833333;4.454861111;81;2;58;F;320;0;0;4160;optional;;;
153;FRA;HEL;4.503472222;4.600694444;82;1;58;F;320;0;0;2240;optional;;;
154;HEL;FRA;4.638888889;4.743055556;82;2;58;F;320;0;0;2240;optional;;;
155;FRA;HEL;1.378472222;1.465277778;83;1;59;F;320;0;0;3840;optional;;;
156;HEL;FRA;1.496527778;1.590277778;83;2;59;F;320;0;0;4160;optional;;;
157;FRA;MAN;0.361111111;0.434027778;84;1;60;F;320;0;0;6720;optional;;;
158;MAN;FRA;0.482638889;0.559027778;84;2;60;F;320;0;0;6720;optional;;;
159;FRA;LHR;0.427083333;0.496527778;85;1;61;F;320;0;0;6720;optional;;;
160;LHR;FRA;0.527777778;0.597222222;85;2;61;F;320;0;0;6720;optional;;;
161;FRA;LIN;6.777777778;6.857638889;86;1;62;F;320;0;0;1920;optional;;;
162;LIN;FRA;0.170138889;0.260416667;86;2;62;F;320;0;0;1920;optional;;;
163;FRA;MAD;0.295138889;0.40625;87;1;62;F;320;0;0;2560;optional;;;
164;MAD;FRA;0.4375;0.552083333;87;2;62;F;320;0;0;2560;optional;;;
165;FRA;DUB;0.59375;0.680555556;88;1;62;F;320;0;0;2240;optional;;;
166;DUB;FRA;0.711805556;0.795138889;88;2;62;F;320;0;0;2240;optional;;;
167;FRA;MAD;1.395833333;1.482638889;89;1;63;F;320;0;0;2560;optional;;;
168;MAD;FRA;1.517361111;1.607638889;89;2;63;F;320;0;0;2560;optional;;;
169;FRA;LIN;3.256944444;3.3125;90;1;64;F;320;0;0;1280;optional;;;
170;LIN;FRA;3.347222222;3.413194444;90;2;64;F;320;0;0;1280;optional;;;
171;FRA;OPO;3.493055556;3.607638889;91;1;64;F;320;0;0;2240;optional;;;
172;FRA;VIE;0.607638889;0.663194444;92;1;65;F;320;0;0;320;optional;;;
173;VIE;FRA;0.690972222;0.75;92;2;65;F;320;0;0;320;optional;;;
174;FRA;LIN;6.621527778;6.677083333;93;1;66;F;320;0;0;960;optional;;;
175;LIN;FRA;6.708333333;6.774305556;93;2;66;F;320;0;0;960;optional;;;
176;FRA;ATH;6.8125;6.965277778;94;1;66;F;320;0;0;640;optional;;;
177;ATH;FRA;0.017361111;0.190972222;94;2;66;F;320;0;0;640;optional;;;
178;FRA;TUN;5.854166667;5.954861111;95;1;67;F;320;0;0;640;optional;;;
179;TUN;FRA;6.072916667;6.180555556;95;2;67;F;320;0;0;640;optional;;;
180;FRA;LIN;2.444444444;2.493055556;96;1;68;F;320;0;0;4480;optional;;;
181;LIN;FRA;2.524305556;2.579861111;96;2;68;F;320;0;0;4800;optional;;;
182;FRA;CDG;2.618055556;2.680555556;97;1;68;F;320;0;0;2560;optional;;;
183;CDG;FRA;2.708333333;2.78125;97;2;68;F;320;0;0;2560;optional;;;
184;FRA;TUN;2.854166667;2.951388889;98;1;68;F;320;0;0;640;optional;;;
185;TUN;FRA;3.072916667;3.173611111;98;2;68;F;320;0;0;640;optional;;;
186;FRA;WAW;3.21875;3.288194444;99;1;69;F;320;0;0;3200;optional;;;
187;WAW;FRA;3.319444444;3.399305556;99;2;69;F;320;0;0;3200;optional;;;
188;FRA;BEG;6.402777778;6.475694444;100;1;70;F;320;0;0;960;optional;;;
189;BEG;FRA;0.503472222;0.586805556;101;1;71;F;320;0;0;960;optional;;;
190;FRA;BUD;0.774305556;0.868055556;102;1;72;F;320;0;0;2240;optional;;;
191;BUD;FRA;1.131944444;1.239583333;102;2;72;F;320;0;0;2240;optional;;;
192;FRA;SVO;1.472222222;1.604166667;103;1;73;F;320;0;0;5760;optional;;;
193;SVO;FRA;1.649305556;1.795138889;103;2;73;F;320;0;0;5440;optional;;;
194;FRA;SVO;6.788194444;6.958333333;104;1;74;F;320;0;0;960;optional;;;
195;SVO;FRA;6.013888889;6.194444444;105;1;75;F;320;0;0;640;optional;;;
196;FRA;SVO;3.71875;3.913194444;106;1;76;F;320;0;0;640;optional;;;
197;SVO;FRA;3.961805556;4.184027778;106;2;76;F;320;0;0;640;optional;;;
198;BUD;MUC;5.413194444;5.5;107;1;77;F;320;0;0;1280;optional;;;
199;MUC;BUD;4.479166667;4.559027778;108;1;78;F;320;0;0;1280;optional;;;
200;MUC;PRG;5.71875;5.798611111;109;1;79;F;320;0;0;2240;optional;;;
201;PRG;MUC;6.177083333;6.260416667;109;2;79;F;320;0;0;2240;optional;;;
202;MUC;BEG;2.378472222;2.434027778;110;1;80;F;320;0;0;320;optional;;;
203;BEG;MUC;2.465277778;2.524305556;110;2;80;F;320;0;0;320;optional;;;
204;MUC;IST;3.388888889;3.496527778;111;1;81;F;320;0;0;4480;optional;;;
205;IST;MUC;3.552083333;3.670138889;111;2;81;F;320;0;0;4480;optional;;;
206;MUC;IST;3.729166667;3.833333333;112;1;81;F;320;0;0;2880;optional;;;
207;IST;MUC;4.204861111;4.319444444;112;2;81;F;320;0;0;2880;optional;;;
208;MUC;MAD;3.395833333;3.506944444;113;1;82;F;320;0;0;6720;optional;;;
209;MAD;MUC;3.5625;3.670138889;113;2;82;F;320;0;0;6720;optional;;;
210;MUC;MAD;6.378472222;6.46875;114;1;83;F;320;0;0;640;optional;;;
211;MAD;MUC;6.503472222;6.590277778;114;2;83;F;320;0;0;640;optional;;;
212;MUC;MAD;5.545138889;5.645833333;115;1;84;F;320;0;0;320;optional;;;
213;MAD;MUC;5.677083333;5.774305556;115;2;84;F;320;0;0;320;optional;;;
214;MUC;LIN;5.295138889;5.34375;116;1;85;F;320;0;0;1600;optional;;;
215;LIN;MUC;5.378472222;5.427083333;116;2;85;F;320;0;0;1600;optional;;;
216;MUC;LIN;6.305555556;6.392361111;117;1;86;F;320;0;0;320;optional;;;
217;LIN;MUC;6.434027778;6.524305556;117;2;86;F;320;0;0;320;optional;;;
218;MUC;MLA;5.552083333;5.645833333;118;1;87;F;320;0;0;320;optional;;;
219;MLA;MUC;5.680555556;5.78125;118;2;87;F;320;0;0;320;optional;;;
220;MUC;HAM;6.798611111;6.847222222;119;1;88;F;320;0;0;320;optional;;;
221;HAM;MUC;0.194444444;0.246527778;119;2;88;F;320;0;0;320;optional;;;
222;MUC;HEL;1.732638889;1.836805556;120;1;89;F;320;0;0;4480;optional;;;
223;HEL;MUC;2.149305556;2.253472222;120;2;89;F;320;0;0;4480;optional;;;
224;MUC;DUB;5.552083333;5.652777778;121;1;90;F;320;0;0;320;optional;;;
225;DUB;MUC;5.684027778;5.777777778;121;2;90;F;320;0;0;320;optional;;;
226;MUC;SVO;0.809027778;0.9375;122;1;91;F;320;0;0;2240;optional;;;
227;SVO;MUC;1.076388889;1.208333333;122;2;91;F;320;0;0;2240;optional;;;
228;SVO;MUC;2.545138889;2.659722222;123;1;92;F;320;0;0;3840;optional;;;
229;MUC;OSL;5.736111111;5.826388889;124;1;93;F;320;0;0;2240;optional;;;
230;OSL;MUC;6.236111111;6.329861111;124;2;93;F;320;0;0;2240;optional;;;
231;MUC;LIN;6.555555556;6.600694444;125;1;93;F;320;0;0;960;optional;;;
232;LIN;MUC;6.631944444;6.677083333;125;2;93;F;320;0;0;960;optional;;;
233;MUC;SVO;6.736111111;6.850694444;126;1;93;F;320;0;0;4160;optional;;;
234;HAM;SVO;3.326388889;3.4375;127;1;94;F;320;0;0;1280;optional;;;
235;SVO;HAM;3.479166667;3.600694444;127;2;94;F;320;0;0;1280;optional;;;
236;TXL;IST;2.861111111;2.979166667;128;1;95;F;320;0;0;1280;optional;;;
237;IST;TXL;3.052083333;3.170138889;128;2;95;F;320;0;0;1280;optional;;;
238;TXL;SVO;3.274305556;3.378472222;129;1;95;F;320;0;0;1920;optional;;;
239;SVO;TXL;3.413194444;3.524305556;129;2;95;F;320;0;0;1920;optional;;;
240;TXL;MAD;3.333333333;3.4375;130;1;96;F;320;0;0;1920;optional;;;
241;MAD;TXL;3.461805556;3.5625;130;2;96;F;320;0;0;1920;optional;;;
242;TXL;MAD;5.350694444;5.493055556;131;1;97;F;320;0;0;640;optional;;;
243;MAD;TXL;5.520833333;5.659722222;131;2;97;F;320;0;0;640;optional;;;
244;TXL;MAD;5.569444444;5.690972222;132;1;98;F;320;0;0;640;optional;;;
245;MAD;TXL;5.725694444;5.84375;132;2;98;F;320;0;0;640;optional;;;
246;TXL;MAD;0.350694444;0.461805556;133;1;99;F;320;0;0;1920;optional;;;
247;MAD;TXL;0.489583333;0.600694444;133;2;99;F;320;0;0;1920;optional;;;
248;HAM;IST;5.229166667;5.375;134;1;100;F;320;0;0;320;optional;;;
249;IST;HAM;5.409722222;5.572916667;134;2;100;F;320;0;0;320;optional;;;
250;DUS;PRG;6.1875;6.305555556;135;1;100;F;320;0;0;320;optional;;;
251;PRG;DUS;6.336805556;6.458333333;135;2;100;F;320;0;0;320;optional;;;
252;HAM;MAD;6.555555556;6.663194444;136;1;100;F;320;0;0;1280;optional;;;
253;MAD;HAM;6.690972222;6.802083333;136;2;100;F;320;0;0;1280;optional;;;
254;DUS;MAD;5.569444444;5.694444444;137;1;101;F;320;0;0;640;optional;;;
255;MAD;DUS;5.722222222;5.836805556;137;2;101;F;320;0;0;640;optional;;;
256;DUS;OPO;6.336805556;6.454861111;138;1;101;F;320;0;0;2240;optional;;;
257;OPO;DUS;6.486111111;6.597222222;138;2;101;F;320;0;0;2240;optional;;;
258;DUS;TUN;5.420138889;5.586805556;139;1;102;F;320;0;0;320;optional;;;
259;TUN;DUS;5.621527778;5.777777778;139;2;102;F;320;0;0;320;optional;;;
260;TXL;BEY;4.857638889;5.017361111;140;1;103;F;320;0;0;960;optional;;;
261;BEY;TXL;5.059027778;5.229166667;140;2;103;F;320;0;0;960;optional;;;
262;TXL;LIN;4.413194444;4.5;141;1;104;F;320;0;0;1600;optional;;;
263;LIN;TXL;4.53125;4.621527778;141;2;104;F;320;0;0;1600;optional;;;
264;DUS;MAD;5.194444444;5.298611111;142;1;105;F;320;0;0;320;optional;;;
265;MAD;DUS;5.326388889;5.427083333;142;2;105;F;320;0;0;320;optional;;;
266;DUS;IST;5.465277778;5.614583333;143;1;105;F;320;0;0;640;optional;;;
267;IST;DUS;5.649305556;5.8125;143;2;105;F;320;0;0;640;optional;;;
268;DUS;MAD;5.395833333;5.489583333;144;1;106;F;320;0;0;2560;optional;;;
269;MAD;DUS;5.520833333;5.618055556;144;2;106;F;320;0;0;2560;optional;;;
270;DUS;MAD;6.239583333;6.430555556;145;1;106;F;320;0;0;320;optional;;;
271;MAD;DUS;6.46875;6.649305556;145;2;106;F;320;0;0;320;optional;;;
272;HAM;MAD;6.222222222;6.430555556;146;1;107;F;320;0;0;320;optional;;;
273;MAD;HAM;6.46875;6.666666667;146;2;107;F;320;0;0;320;optional;;;
274;FRA;MLA;3.315972222;3.416666667;147;1;108;F;321;0;0;6076.44;optional;;;
275;MLA;FRA;3.451388889;3.565972222;147;2;108;F;321;0;0;6076.44;optional;;;
276;FRA;LIN;3.604166667;3.677083333;148;1;108;F;321;0;0;31250.34;optional;;;
277;LIN;FRA;3.715277778;3.798611111;148;2;108;F;321;0;0;31250.34;optional;;;
278;FRA;LIN;1.795138889;1.84375;149;1;109;F;321;0;0;13020.975;optional;;;
279;LIN;FRA;2.222222222;2.284722222;149;2;109;F;321;0;0;13020.975;optional;;;
280;FRA;LIN;5.256944444;5.3125;150;1;110;F;321;0;0;26041.95;optional;;;
281;LIN;FRA;5.347222222;5.413194444;150;2;110;F;321;0;0;26041.95;optional;;;
282;FRA;LIN;6.354166667;6.434027778;151;1;111;F;321;0;0;6944.535;optional;;;
283;LIN;FRA;6.472222222;6.5625;151;2;111;F;321;0;0;6944.535;optional;;;
284;MUC;CAI;6.309027778;6.461805556;152;1;112;F;321;0;0;2604.195;optional;;;
285;CAI;MUC;6.503472222;6.666666667;152;2;112;F;321;0;0;2604.195;optional;;;
286;MUC;OPO;6.465277778;6.597222222;153;1;113;F;321;0;0;1736.145;optional;;;
287;OPO;MUC;6.631944444;6.760416667;153;2;113;F;321;0;0;1736.145;optional;;;
288;TLV;FRA;0.083333333;0.270833333;154;1;113;F;321;0;0;868.05;optional;;;
289;FRA;TLV;0.340277778;0.503472222;155;1;113;F;321;0;0;868.05;optional;;;
290;TLV;FRA;0.5625;0.75;155;2;113;F;321;0;0;868.05;optional;;;
291;FRA;TLV;0.84375;1.006944444;156;1;113;F;321;0;0;868.05;optional;;;
292;TLV;FRA;1.083333333;1.270833333;156;2;113;F;321;0;0;868.05;optional;;;
293;FRA;TLV;1.340277778;1.503472222;157;1;113;F;321;0;0;868.05;optional;;;
294;TLV;FRA;1.5625;1.75;157;2;113;F;321;0;0;868.05;optional;;;
295;FRA;TLV;1.84375;2.006944444;158;1;113;F;321;0;0;868.05;optional;;;
296;TLV;FRA;2.083333333;2.270833333;158;2;113;F;321;0;0;868.05;optional;;;
297;FRA;TLV;2.340277778;2.503472222;159;1;113;F;321;0;0;868.05;optional;;;
298;TLV;FRA;2.5625;2.75;159;2;113;F;321;0;0;868.05;optional;;;
299;FRA;TLV;2.84375;3.006944444;160;1;113;F;321;0;0;868.05;optional;;;
300;TLV;FRA;3.083333333;3.270833333;160;2;113;F;321;0;0;868.05;optional;;;
301;FRA;TLV;3.340277778;3.503472222;161;1;113;F;321;0;0;868.05;optional;;;
302;TLV;FRA;3.5625;3.75;161;2;113;F;321;0;0;868.05;optional;;;
303;FRA;TLV;3.84375;4.006944444;162;1;113;F;321;0;0;868.05;optional;;;
304;TLV;FRA;4.083333333;4.270833333;162;2;113;F;321;0;0;868.05;optional;;;
305;FRA;TLV;4.340277778;4.503472222;163;1;113;F;321;0;0;868.05;optional;;;
306;TLV;FRA;4.5625;4.75;163;2;113;F;321;0;0;868.05;optional;;;
307;FRA;TLV;4.84375;5.006944444;164;1;113;F;321;0;0;868.05;optional;;;
308;TLV;FRA;5.104166667;5.291666667;164;2;113;F;321;0;0;868.05;optional;;;
